Ativo;Data;Alta;Baixa;Abertura;Fechamento;Volume;FechamentoAjustado
BBDC4;02/01/2020;34,09999847;32,90908813;33,20909119;34,09999847;20687260;33,07200241
BBDC4;03/01/2020;34,54545212;33,52727127;33,54545212;34,09999847;33057090;33,08722305
BBDC4;06/01/2020;33,89090729;33,12727356;33,81818008;33,49090958;27830990;32,49622345
BBDC4;07/01/2020;33,59999847;32,72727203;33,40908813;32,90908813;16343030;31,9316864
BBDC4;08/01/2020;33,20000076;32,23636246;33,06363678;32,40000153;23393480;31,43770599
BBDC4;09/01/2020;32,62727356;31,56363678;32,52727127;31,88181877;25437390;30,93491936
BBDC4;10/01/2020;32,16363525;31,22727203;31,91818047;31,29999924;21857000;30,37037849
BBDC4;13/01/2020;31,77272606;31,4272728;31,61818123;31,63636208;17950240;30,69675064
BBDC4;14/01/2020;31,68181801;31,21818161;31,66363525;31,60000038;15654430;30,66147041
BBDC4;15/01/2020;31,47272682;30,79090881;31,43636322;31,04545403;23390730;30,12339211
BBDC4;16/01/2020;31,72727203;31,04545403;31,16363525;31,49090958;27119840;30,55562019
BBDC4;17/01/2020;32,32727051;31,61818123;31,68181801;32,22727203;24789270;31,27011299
BBDC4;20/01/2020;32,13636398;31,4636364;32,05454636;31,60000038;15412870;30,66147041
BBDC4;21/01/2020;31,51818085;30,5363636;31,36363602;30,54545403;25830640;29,63824463
BBDC4;22/01/2020;31,0363636;30,49090958;30,90909004;30,65454483;19646220;29,74409485
BBDC4;23/01/2020;31,78181839;30,31818008;30,44545364;31,4636364;32172910;30,52915382
BBDC4;24/01/2020;31,70908928;30,87272644;31,56363678;31,22727203;14753420;30,2998085
BBDC4;27/01/2020;30,97272682;30,39090919;30,89090919;30,50909042;15678740;29,60296249
BBDC4;28/01/2020;30,93636322;30,34545326;30,77272606;30,54545403;13757920;29,63824463
BBDC4;29/01/2020;30,83636284;30;30,78181839;30,10909081;17780730;29,21483612
BBDC4;30/01/2020;30,48181725;29,60909081;29,74545479;30,40909004;17387590;29,50593567
BBDC4;31/01/2020;30,25454521;29,65454483;30,0363636;29,89999962;19095670;29,01195717
BBDC4;03/02/2020;30,44545364;29,82727242;29,99090958;30,09090805;16656530;29,19719887
BBDC4;04/02/2020;30,69090843;30,0363636;30,68181801;30,09090805;22628210;29,21242332
BBDC4;05/02/2020;31,45454407;30,62727165;30,9272728;30,67272758;43281260;29,77725601
BBDC4;06/02/2020;31,15454483;30,15454483;30,90909004;30,31818008;25761670;29,43305779
BBDC4;07/02/2020;31,09090805;30,14545441;30,18181801;30,66363525;25038090;29,76843071
BBDC4;10/02/2020;31,32727242;30,47272682;30,77272606;30,99090958;26901710;30,08614922
BBDC4;11/02/2020;31,70000076;31,00909042;31,38181877;31,26363564;29926490;30,35090637
BBDC4;12/02/2020;31,38181877;30,54545403;31,25454521;30,84545326;54186440;29,94494057
BBDC4;13/02/2020;30,62727165;30,02727127;30,62727165;30,25454521;21124730;29,37127876
BBDC4;14/02/2020;30,29090881;29,45454407;30,24545479;29,5727272;24326830;28,70936775
BBDC4;17/02/2020;29,72727203;29,32727242;29,66363525;29,32727242;11890120;28,47108078
BBDC4;18/02/2020;29,4272728;28,79999924;29,10909081;29,15454483;28770720;28,35455704
BBDC4;19/02/2020;30;28,9272728;28,99090958;29,5727272;29913950;28,7612648
BBDC4;20/02/2020;29,86363602;29,10000038;29,86363602;29,14545441;23043790;28,34571838
BBDC4;21/02/2020;29,13636208;28,64545441;29;28,91818047;17833310;28,12467957
BBDC4;27/02/2020;28,28181839;27,00909042;27,00909042;27,24545479;39661600;26,49785423
BBDC4;28/02/2020;27,89999962;27;27,33636284;27,75454521;46098800;26,99297523
BBDC4;02/03/2020;28,25454521;27,38181877;27,77272606;28,12727165;36676860;27,35547829
BBDC4;03/03/2020;28,21818161;27,20000076;27,81818008;27,38181877;34065900;26,64532852
BBDC4;04/03/2020;27,84545326;27,02727127;27,79999924;27,68181801;32222740;26,93725967
BBDC4;05/03/2020;27,62727165;26,5363636;27,40909004;26,77272606;26509450;26,05261993
BBDC4;06/03/2020;26,58181763;25,65454483;25,95454407;26,00909042;33181170;25,30953026
BBDC4;09/03/2020;24,95454407;23,77272606;24,24545479;24,13636208;50443030;23,48716545
BBDC4;10/03/2020;25,79090881;23,83636284;25,45454407;24,71818161;36607120;24,0533371
BBDC4;11/03/2020;24,33636284;21,82727242;24,09090805;22,71818161;39029980;22,10712814
BBDC4;12/03/2020;20,72727203;19,09090805;20;19,67272758;42554490;19,14358902
BBDC4;13/03/2020;23,39999962;20,00909042;23,36363602;22,99090958;65642170;22,37252617
BBDC4;16/03/2020;21,97272682;19,67272758;20,36363602;19,70908928;50595490;19,17897224
BBDC4;17/03/2020;22,32727242;19,68181801;20,31818008;21,29090881;59670820;20,71825027
BBDC4;18/03/2020;20,4636364;17,90909004;19,81818008;18,80908966;65055430;18,30318451
BBDC4;19/03/2020;19,5363636;17,20000076;18,18181801;18,86363602;59851990;18,35626411
BBDC4;20/03/2020;19,72727203;17,23636246;19,5727272;17,49090958;55406340;17,0204525
BBDC4;23/03/2020;17,90909004;15,72727203;17,72727203;16,06363678;58598980;15,63157368
BBDC4;24/03/2020;18,73636246;17,20000076;17,28181839;18,48181725;40532800;17,98471451
BBDC4;25/03/2020;21,29090881;18,0727272;18,17272758;19,86363602;39285070;19,32936668
BBDC4;26/03/2020;21,15454483;19,41818047;20,18181801;20,28181839;42165750;19,73630142
BBDC4;27/03/2020;19,81818008;18,82727242;19,27272606;18,9636364;34946450;18,45357323
BBDC4;30/03/2020;19,84545326;18,87272644;19,21818161;19,55454445;35053590;19,02858925
BBDC4;31/03/2020;19,5363636;18,54545403;19,31818008;18,88181877;42994710;18,37395287
BBDC4;01/04/2020;18,33636284;17,61818123;18,18181801;18,05454445;28172430;17,56893349
BBDC4;02/04/2020;18,52727127;17,83636284;18,04545403;18,13636208;32924210;17,66389275
BBDC4;03/04/2020;18,02727127;16,56363678;18;17,4636364;44986260;17,00868988
BBDC4;06/04/2020;19,43636322;18,66363525;18,76363564;19,11818123;62322260;18,62013054
BBDC4;07/04/2020;20,84545326;19,79090881;20,45454407;19,83636284;40801860;19,31960487
BBDC4;08/04/2020;20,74545479;19,75454521;19,90909004;20,36363602;37210910;19,83314705
BBDC4;09/04/2020;21,16363525;20,23636246;20,63636208;20,35454559;41548320;19,82428741
BBDC4;13/04/2020;20,88181877;19,81818008;20,33636284;20,88181877;35536600;20,33782768
BBDC4;14/04/2020;22,05999947;21,11000061;21,5;21,11000061;34432600;20,56006432
BBDC4;15/04/2020;21,05999947;20,39999962;20,73999977;20,5;36230700;19,96595573
BBDC4;16/04/2020;20,84000015;19,90999985;20,81999969;19,96999931;29284000;19,44976044
BBDC4;17/04/2020;20,69000053;19,76000023;20,47999954;20,36000061;26737200;19,82959938
BBDC4;20/04/2020;20,07999992;19,54999924;19,87999916;19,70000076;41960400;19,18679237
BBDC4;22/04/2020;20,13999939;19,37000084;19,5;19,62999916;43366500;19,11862183
BBDC4;23/04/2020;20,14999962;19,03000069;19,89999962;19,35000038;42673100;18,84591293
BBDC4;24/04/2020;19,21999931;17,20000076;19,03000069;17,84000015;72942900;17,37524986
BBDC4;27/04/2020;19,05999947;18,14999962;18,63999939;18,36000061;43960400;17,88170242
BBDC4;28/04/2020;20,25;19,38999939;19,54999924;19,96999931;57299100;19,44976044
BBDC4;29/04/2020;20,72999954;19,88999939;20,53000069;20,63999939;36957300;20,10230637
BBDC4;30/04/2020;19,59000015;19,04999924;19,04999924;19,14999962;70325000;18,65112305
BBDC4;04/05/2020;18,73999977;18,07999992;18,70999908;18,29999924;44358900;17,82326508
BBDC4;05/05/2020;19,04000092;18,15999985;18,5;18,29999924;51359100;17,84007835
BBDC4;06/05/2020;18,44000053;17,69000053;18,34000015;17,92000008;42069600;17,4696331
BBDC4;07/05/2020;18,07999992;17;18,04999924;17,14999962;70500600;16,71898651
BBDC4;08/05/2020;18,12999916;17,46999931;17,63999939;17,92000008;40080600;17,4696331
BBDC4;11/05/2020;18,55999947;17,64999962;17,79999924;17,64999962;30701600;17,20641708
BBDC4;12/05/2020;17,96999931;17,10000038;17,92000008;17,10000038;40746500;16,67024422
BBDC4;13/05/2020;17,51000023;16,61000061;17,28000069;16,95000076;53750500;16,52401352
BBDC4;14/05/2020;17,90999985;16,11000061;16,67000008;17,87999916;68452500;17,43064117
BBDC4;15/05/2020;18,03000069;17,11000061;17,73999977;17,11000061;40369400;16,67999077
BBDC4;18/05/2020;18,06999969;17,44000053;17,95000076;18,01000023;48012100;17,55737114
BBDC4;19/05/2020;18;17,47999954;17,94000053;17,47999954;34829900;17,04069328
BBDC4;20/05/2020;17,81999969;17,37000084;17,60000038;17,65999985;27881000;17,21616364
BBDC4;21/05/2020;18,79999924;17,70999908;17,79999924;18,63999939;52239500;18,17153358
BBDC4;22/05/2020;19;18,22999954;18,43000031;18,75;42955300;18,27877235
BBDC4;25/05/2020;20,14999962;19,27000046;19,59000015;20,07999992;41760000;19,57534599
BBDC4;26/05/2020;20,54000092;19,06999969;20,48999977;19,20999908;60654700;18,727211
BBDC4;27/05/2020;19,71999931;19,18000031;19,60000038;19,54000092;31731300;19,04892159
BBDC4;28/05/2020;19,65999985;19,05999947;19,37000084;19,10000038;36679100;18,61997604
BBDC4;29/05/2020;19,10000038;18,46999931;19,10000038;18,95000076;70297300;18,47374535
BBDC4;01/06/2020;19,94000053;18,79000092;18,88999939;19,79999924;60813500;19,30238533
BBDC4;02/06/2020;20,70000076;20,04000092;20,17000008;20,67000008;47861000;20,16808701
BBDC4;03/06/2020;22;21,36000061;21,63999939;21,59000015;76471600;21,06574821
BBDC4;04/06/2020;22,15999985;21,01000023;21,38999939;21,89999962;58598500;21,36822128
BBDC4;05/06/2020;23,62999916;22,18000031;23,34000015;22,29999924;73385100;21,75851059
BBDC4;08/06/2020;23,5;22,60000038;22,70000076;23,46999931;57868000;22,90010071
BBDC4;09/06/2020;23,40999985;22,62999916;22,86000061;22,95000076;51741700;22,39272308
BBDC4;10/06/2020;23,47999954;21,79999924;23,39999962;21,87999916;61429400;21,3487072
BBDC4;12/06/2020;21,84000015;21,19000053;21,35000038;21,62999916;74209800;21,10477829
BBDC4;15/06/2020;21,5;20,79999924;21;21,14999962;67404400;20,63643265
BBDC4;16/06/2020;22,28000069;21,48999977;21,98999977;22,03000069;52661700;21,49506569
BBDC4;17/06/2020;22,81999969;21,98999977;22;22,37999916;54418700;21,83656502
BBDC4;18/06/2020;22,76000023;21,95000076;22,11000061;22,29999924;54596100;21,75851059
BBDC4;19/06/2020;22,77000046;21,86000061;22,64999962;22,36000061;73765500;21,81705093
BBDC4;22/06/2020;22,47999954;21,47999954;22,38999939;21,57999992;37514400;21,05599213
BBDC4;23/06/2020;22,10000038;21,34000015;22;21,54999924;36807200;21,02672195
BBDC4;24/06/2020;21,62999916;20,70999908;21,43000031;20,85000038;45725300;20,34371948
BBDC4;25/06/2020;21,54000092;20,81999969;21,11000061;21,35000038;41089200;20,8315773
BBDC4;26/06/2020;21,31999969;20,62999916;21,04000092;20,69000053;45474000;20,1876049
BBDC4;29/06/2020;21,40999985;20,76000023;20,88999939;21,40999985;49001400;20,89011765
BBDC4;30/06/2020;21,29000092;20,56999969;21,21999931;20,70000076;44894900;20,19736481
BBDC4;01/07/2020;21,36000061;20,76000023;20,81999969;21,15999985;33581400;20,64618874
BBDC4;02/07/2020;21,87999916;21,19000053;21,62000084;21,20999908;37641800;20,71186066
BBDC4;03/07/2020;21,38999939;21;21,18000031;21,35000038;12616400;20,84857178
BBDC4;06/07/2020;22,70000076;21,72999954;21,89999962;22,64999962;57072300;22,11804008
BBDC4;07/07/2020;22,59000015;21,70999908;22,45000076;21,70999908;56044800;21,20011139
BBDC4;08/07/2020;22,59000015;21,86000061;22;22,45000076;52076000;21,92273903
BBDC4;09/07/2020;22,71999931;21,86000061;22,56999969;21,95000076;80783800;21,43448067
BBDC4;10/07/2020;22,27000046;21,64999962;21,94000053;22,27000046;68710100;21,74696159
BBDC4;13/07/2020;22,59000015;21,95999908;22,48999977;21,95999908;37676700;21,44424438
BBDC4;14/07/2020;22,35000038;21,70999908;21,97999954;22,32999992;38642800;21,80555725
BBDC4;15/07/2020;23,13999939;22,5;22,60000038;22,70000076;47389200;22,1668663
BBDC4;16/07/2020;22,57999992;22,21999931;22,5;22,29999924;30452100;21,77626228
BBDC4;17/07/2020;22,72999954;22,35000038;22,47999954;22,40999985;45094600;21,88367462
BBDC4;20/07/2020;22,79999924;22,27000046;22,45999908;22,62000084;40134500;22,08874702
BBDC4;21/07/2020;23,47999954;22,80999947;23;23,22999954;63882800;22,68441582
BBDC4;22/07/2020;23,35000038;22,54999924;23,29999924;22,82999992;41721500;22,29380989
BBDC4;23/07/2020;22,88999939;22,43000031;22,88999939;22,5;31033600;21,97156334
BBDC4;24/07/2020;22,86000061;22,07999992;22,29999924;22,63999939;28914300;22,10827255
BBDC4;27/07/2020;23,72999954;22,82999992;22,88999939;23,68000031;54917600;23,12384987
BBDC4;28/07/2020;24,13999939;23,35000038;23,40999985;23,52000046;42900000;22,96760559
BBDC4;29/07/2020;24,29999924;23,89999962;23,89999962;24,26000023;46364000;23,6902256
BBDC4;30/07/2020;24,22999954;23,19000053;23,96999931;23,40999985;65663700;22,86018753
BBDC4;31/07/2020;23,67000008;22,28000069;23,60000038;22,44000053;76658300;21,91297531
BBDC4;03/08/2020;22,75;21,97999954;22,67000008;22,20000076;55871400;21,67860794
BBDC4;04/08/2020;22,42000008;21,32999992;21,93000031;21,71999931;68211800;21,22637749
BBDC4;05/08/2020;22,12999916;21,43000031;22,03000069;21,81999969;37536600;21,32410049
BBDC4;06/08/2020;22,26000023;21,55999947;21,89999962;21,96999931;41748200;21,47069359
BBDC4;07/08/2020;22,54999924;21,52000046;21,70999908;21,84000015;58531000;21,34364891
BBDC4;10/08/2020;22,22999954;21,68000031;21,95000076;22,03000069;29133800;21,5293293
BBDC4;11/08/2020;22,45000076;21,85000038;22,29000092;21,85000038;32179400;21,35342216
